"","53ea7f0500e5790843000001","53ec1ba3adfd950841000000","53ecff906ce61cfb2e000004","53ed01cceab72a9241000000","53ed5839a9a0b1572a000000","53f12e1eee140fba78000001","53f29bcb6ce61ce921000000","53f330abee140fd373000003","53f37f54a9a0b13220000001","53f3c020eab72a0d71000002"
"J. S., 92131",1,0,0,0,0,0,0,0,0,0
"T. M., 49408",1,0,0,0,0,0,0,0,0,0
"M. A., 32561",1,0,0,0,0,0,0,0,0,0
"N. T., 33185",1,0,0,0,0,0,0,0,0,0
"J. P., 32259",1,0,0,0,0,0,0,0,0,0
"M. F., 20191",1,0,0,0,1,0,0,0,0,0
"Q. P., 12144",1,0,0,0,0,0,0,0,0,0
"R. N., 94545",1,0,0,0,0,0,0,0,0,0
"S. H., 63376",1,0,0,0,0,0,0,0,0,0
"J. S., 33625",1,0,0,0,0,0,0,0,0,0
"C. C., 95476",1,0,0,0,0,0,0,0,0,0
"J. F., 12926-810",1,0,0,0,0,0,0,0,0,0
"S. S., 63136",1,0,1,0,1,0,0,0,0,1
"N. D., 33624 ",1,0,0,0,0,0,0,0,0,0
"J. V., 93306",1,0,0,0,0,0,0,0,0,0
"B. H., 92127",1,0,0,0,0,0,0,0,0,0
"X. D., 32905",1,0,0,0,0,0,0,0,0,0
"A. N., 90803",1,0,0,0,0,0,0,0,0,0
"Z. H., 48182",1,0,0,0,0,0,0,0,0,0
"M. J., 02115",1,0,0,0,0,0,0,0,0,0
"J. M., 23233",1,0,0,0,0,0,0,0,0,0
"B. S., 67215",1,0,1,0,0,0,0,0,0,1
"K. D., 10024",1,0,1,0,1,1,0,0,0,1
"K. G., 08108",1,0,0,0,0,0,1,0,0,0
"L. A., 63146",1,0,0,0,0,0,0,0,0,0
"A. W., SW2 2BE",1,0,0,0,0,0,0,0,0,0
"C. F., 01452",1,0,0,0,0,0,0,0,0,0
"E. R., 94928",1,0,0,0,0,0,0,0,0,0
"T. S., 36575",1,0,0,0,0,0,0,0,0,0
"S. B., 43065-9208",1,0,0,0,0,0,0,0,0,0
"J. C., HP12 4QP",1,0,0,0,0,0,0,0,0,0
"G. C., 92503",1,0,0,0,0,0,0,0,0,0
